# KLIBS INFO
#  > KLibs Commit: f3114ba150b1539d5e7d18ebe5fe32efa02ee24e
#
# EXPERIMENT SETTINGS
#  > Trials Per Block: 60
#  > Blocks Per Experiment: 8
#
# SYSTEM INFO
#  > Operating System: OS X 10.11.6
#  > Python Version: 2.7.12
#
# DISPLAY INFO
#  > Screen Size: 24" diagonal
#  > Resolution: 2560x1440 @ 60Hz
#  > View Distance: 57 cm

participant	gender	age	handedness	random_seed	block_num	trial_num	search_type	stimulus_type	present_absent	set_size	target_distractor	distractor_distractor	target_time	target_onset	spatial_response	spatial_rt	temporal_response	temporal_rt
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	7	time	COLOR	present	NA	hetero	homo	7	4250.0379047	NA	NA	present	1653.042919
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	8	time	COLOR	present	NA	hetero	homo	5	3916.51915136	NA	NA	present	1152.90662204
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	9	time	COLOR	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4504.23361303
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	8	10	time	COLOR	absent	NA	hetero	homo	-1	NA	NA	NA	absent	4504.13629302
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	1	space	COLOR	absent	16	homo	homo	NA	NA	absent	1647.054406	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	2	space	COLOR	absent	12	homo	homo	NA	NA	absent	2290.92184303	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	3	space	COLOR	absent	8	homo	homo	NA	NA	absent	1742.503652	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	4	space	COLOR	present	8	homo	homo	NA	NA	present	776.372283988	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	5	space	COLOR	present	12	homo	homo	NA	NA	present	758.037551015	NA	NA
991c9ec6814d9c6a7595b3bbe30a1692b4ac7fa2	f	18	r	194439599	9	6	space	COLOR	present	16	homo	homo	NA	NA	present	813.930619974	NA	NA
